author_id,first_name,last_name,status,last_known_institution,google_scholar,orcid,openalex
1195,Nicole,Askin,practitioner,University of Manitoba,"""https://scholar.google.ca/citations?user=Aa0sabMAAAAJ&hl=en"", ""https://scholar.google.com/citations?hl=en&user=Aa0sabMAAAAJ"", ""https://scholar.google.com/citations?hl=en&user=Aa0sabMAAAAJ""","""https://orcid.org/0000-0001-9211-4694"", ""https://orcid.org/0000-0001-9211-4694""",NA
1196,Orvie,Dingwall,practitioner,University of Manitoba,NA,NA,NA
1197,Ruby,Warren,practitioner,University of Manitoba,"""https://scholar.google.com/citations?hl=en&user=oKxdcNsAAAAJ""","""https://orcid.org/0000-0003-4082-3434""",NA
1198,Ryan,Schultz,practitioner,University of Manitoba,"""https://scholar.google.com/citations?hl=en&user=VqLdk70AAAAJ""","""https://orcid.org/0000-0002-8412-7302""",NA
1199,Sarah,Clark,practitioner,University of Manitoba,NA,"""https://orcid.org/0000-0002-4577-4777""",NA
12,Sonia,Léger,practitioner,Université Laval,NA,NA,NA
120,Mary,Hague-Yearl,practitioner,McGill University,NA,NA,NA
1200,Sherri,Vokey,practitioner,University of Manitoba,"""https://scholar.google.com/citations?hl=en&user=jQZxni8AAAAJ""","""https://orcid.org/0000-0002-2396-0413""",NA
1201,Vera,Keown,practitioner,University of Manitoba,"""https://scholar.google.com/citations?hl=en&user=e1I0TZ8AAAAJ""","""https://orcid.org/0000-0002-8694-2175""",NA
1202,Victoria,Ho,practitioner,University of Manitoba,NA,NA,NA
1203,Wei,Xuan,practitioner,University of Manitoba,NA,"""https://orcid.org/0000-0002-3795-9640""",NA
1204,Sheilah,Ayers,practitioner,University of Lethbridge,NA,NA,NA
1205,Paula,Cardozo,practitioner,University of Lethbridge,NA,"""https://orcid.org/0000-0002-0496-4531""",NA
1206,Sandra,Cowan,practitioner,University of Lethbridge,NA,"""https://orcid.org/0000-0002-6554-0986""",NA
1207,Romany,Craig,practitioner,University of Lethbridge,NA,NA,NA
1208,Rumi,Graham,practitioner,University of Lethbridge,NA,"""https://orcid.org/0000-0002-9798-2148""",NA
1209,David,Scott,practitioner,University of Lethbridge,NA,NA,NA
121,Jennifer (Cong Yan),Zhao,practitioner,McGill University,NA,NA,NA
1210,Emma,(Black) Scott,practitioner,University of Lethbridge,NA,"""https://orcid.org/0000-0001-8391-9001""",NA
1211,Rhys,Stevens,practitioner,University of Lethbridge,"""https://scholar.google.com/citations?hl=en&user=V1onIjMdCiIJ""","""https://orcid.org/0000-0002-4985-1987""",NA
1212,Nicole,Eva,practitioner,University of Lethbridge,"""https://scholar.google.ca/citations?user=AVcfds0AAAAJ&hl=en""","""https://orcid.org/0000-0002-4664-7390""",NA
1213,Patty,Neufeldt,practitioner,Ambrose University,NA,NA,NA
1214,Kim,Kissack,practitioner,Ambrose University,NA,NA,NA
1215,H.d (Sandy),Ayer,practitioner,Ambrose University,NA,NA,NA
1216,Megan,Hallam,practitioner,Ambrose University,NA,NA,NA
1217,Darcy,Gullacher,practitioner,Trinity Western University,NA,NA,NA
