"","sm_code","publication_year","type","count","n_cits"
"10723",41,1881,"journal-article",21,0
"10724",41,1882,"journal-article",107,0
"10725",41,1883,"journal-article",1,0
"10726",41,1884,"journal-article",1,0
"10727",41,1885,"journal-article",7,0
"10728",41,1886,"journal-article",5,0
"10729",41,1887,"journal-article",2,0
"10730",41,1888,"journal-article",4,0
"10731",41,1889,"journal-article",19,0
"10732",41,1890,"journal-article",17,0
"10733",41,1890,"posted-content",1,0
"10734",41,1891,"journal-article",27,0
"10735",41,1892,"journal-article",9,0
"10736",41,1893,"journal-article",13,0
"10737",41,1894,"journal-article",143,0
"10738",41,1895,"journal-article",24,0
"10739",41,1896,"journal-article",23,0
"10740",41,1897,"journal-article",9,0
"10741",41,1898,"journal-article",15,0
"10742",41,1899,"journal-article",22,21
"10743",41,1900,"journal-article",49,8
"10744",41,1901,"journal-article",48,5
"10745",41,1902,"journal-article",124,36
"10746",41,1903,"journal-article",111,37
"10747",41,1904,"journal-article",116,28
"10748",41,1905,"journal-article",122,30
"10749",41,1906,"journal-article",105,14
"10750",41,1907,"journal-article",96,22
"10751",41,1908,"journal-article",77,10
"10752",41,1909,"journal-article",65,25
"10753",41,1910,"journal-article",97,11
"10754",41,1911,"journal-article",100,19
"10755",41,1912,"journal-article",192,47
"10756",41,1913,"journal-article",103,26
"10757",41,1914,"journal-article",35,7
"10758",41,1915,"journal-article",94,21
"10759",41,1916,"journal-article",151,14
"10760",41,1917,"journal-article",132,7
"10761",41,1918,"journal-article",50,9
"10762",41,1919,"journal-article",21,4
"10763",41,1920,"journal-article",59,17
"10764",41,1921,"journal-article",69,30
"10765",41,1922,"journal-article",108,20
"10766",41,1923,"journal-article",118,24
"10767",41,1924,"journal-article",151,25
"10768",41,1925,"journal-article",206,38
"10769",41,1926,"journal-article",115,14
"10770",41,1927,"journal-article",150,23
"10771",41,1928,"journal-article",190,36
"10772",41,1929,"journal-article",184,34
"10773",41,1930,"journal-article",210,38
"10774",41,1931,"journal-article",190,21
"10775",41,1932,"journal-article",150,48
"10776",41,1933,"journal-article",149,32
"10777",41,1934,"journal-article",189,47
"10778",41,1935,"journal-article",175,129
"10779",41,1936,"journal-article",224,61
"10780",41,1937,"journal-article",157,78
"10781",41,1938,"journal-article",168,28
"10782",41,1939,"journal-article",124,13
"10783",41,1940,"journal-article",189,23
"10784",41,1941,"journal-article",95,14
"10785",41,1942,"journal-article",95,7
"10786",41,1943,"journal-article",108,31
"10787",41,1944,"journal-article",111,10
"10788",41,1945,"journal-article",85,26
"10789",41,1946,"journal-article",166,19
"10790",41,1947,"journal-article",170,42
"10791",41,1948,"journal-article",203,22
"10792",41,1949,"journal-article",236,31
"10793",41,1950,"journal-article",306,43
"10794",41,1951,"journal-article",321,82
"10795",41,1952,"journal-article",494,92
"10796",41,1953,"journal-article",446,107
"10797",41,1954,"journal-article",483,131
"10798",41,1955,"journal-article",402,63
"10799",41,1956,"journal-article",459,180
"10800",41,1957,"journal-article",481,81
"10801",41,1958,"journal-article",462,175
"10802",41,1959,"journal-article",362,70
"10803",41,1960,"journal-article",368,166
"10804",41,1961,"journal-article",368,95
"10805",41,1962,"journal-article",488,170
"10806",41,1963,"journal-article",442,159
"10807",41,1964,"journal-article",500,135
"10808",41,1965,"journal-article",560,140
"10809",41,1966,"journal-article",410,104
"10810",41,1967,"journal-article",470,117
"10811",41,1968,"journal-article",466,180
"10812",41,1969,"journal-article",591,181
"10813",41,1970,"journal-article",590,344
"10814",41,1971,"journal-article",767,318
"10815",41,1972,"journal-article",768,569
"10816",41,1973,"journal-article",822,311
"10817",41,1974,"journal-article",782,354
"10818",41,1975,"journal-article",954,720
"10819",41,1976,"journal-article",1050,490
"10820",41,1977,"journal-article",1044,580
"10821",41,1978,"journal-article",1037,415
"10822",41,1979,"journal-article",1048,849
"10823",41,1980,"journal-article",1219,627
"10824",41,1981,"journal-article",1249,840
"10825",41,1982,"journal-article",1217,823
"10826",41,1983,"journal-article",1324,554
"10827",41,1984,"journal-article",1385,941
"10828",41,1985,"journal-article",1651,1067
"10829",41,1986,"journal-article",1631,971
"10830",41,1987,"journal-article",1878,1115
"10831",41,1988,"journal-article",1907,1262
"10832",41,1989,"journal-article",1968,1288
